"Need help? Hoover over the title in each column -  or read the ""README"" sheet",,,,,,,Total hours unpaid: 146.5,,,,
Paid (month),Invoice No.,Worker,Date (work),Assignment,Hours,Category,Comment,Status,Cost,Price,
N/A,2018-1,lakruzz,Tue 13. Mar,Phable - DI,2,Prolike,Proof of concept,OK,400,748,
N/A,2018-1,lakruzz,Fri 16. Mar,Phable - DI,3,Prolike,"Ugly workaround on the fonts, logo size, footers, ugly merge",OK,600,1122,
March 2018,2018-1,anetacamo,Mon 19. Mar,Phable - DI,3,Prolike,services into the liquid + first fixes,OK,600,1122,
March 2018,2018-1,anetacamo,Tue 20. Mar,Phable - DI,8,Prolike,services + solutions into liquid + blog for loop,OK,1600,2992,
March 2018,2018-1,anetacamo,Wed 21. Mar,Phable - DI,4,Prolike,creating another liquid includes + adding links in Customer Hub,OK,800,1496,
March 2018,2018-1,anetacamo,Thu 22. Mar,Phable - DI,11,Prolike,new blog post page + transfering pages into the liquid + fixing the linking + CSS styling,OK,2200,4114,
N/A,2018-1,lakruzz,Thu 22. Mar,Phable - DI,0.5,Prolike,Status on DI with JC and Aneta,OK,100,187,
March 2018,2018-1,anetacamo,Fri 23. Mar,Phable - DI,6,Prolike,new includes + fixing runway issues + testimony & solutions into liquid + favicon + counters,OK,1200,2244,
March 2018,2018-1,anetacamo,Sat 24. Mar,Phable - DI,4,Prolike,adding the code text in the blog + logo link fix + other links from previous include changes,OK,800,1496,
N/A,2018-1,lakruzz,Sat 24. Mar,Phable - DI,2,Prolike,Add release script,OK,400,748,
March 2018,2018-1,anetacamo,Sun 25. Mar,Phable - DI,4,Prolike,creating the code and ading tables into the blog content + some footer should not have social images,OK,800,1496,
March 2018,2018-1,anetacamo,Mon 26. Mar,Phable - DI,10,Prolike,new event page + event layout + fixing CSS issues + removing unused files,OK,2000,3740,
March 2018,2018-1,anetacamo,Tue 27. Mar,Phable - DI,5,Prolike,finishing event page layout + services into liquid + fixing CSS and HTML issues ,OK,1000,1870,
March 2018,2018-1,anetacamo,Wed 28. Mar,Phable - DI,3,Prolike,Management + speakers images + removing links from all the faces,OK,600,1122,
March 2018,2018-1,anetacamo,Thu 29. Mar,Phable - DI,2,Prolike,fixing the mobile issue with icons + aligning text to them + smaller nav icons on slider,OK,400,748,
March 2018,2018-1,anetacamo,Fri 30. Mar,Phable - DI,8,Prolike,Transfering files into folders. More pages into liquid + fixing links,OK,1600,2992,
March 2018,2018-1,anetacamo,Sat 31. Mar,Phable - DI,4,Prolike,Removing CSS from HTML layout + remove empty alts  ,OK,800,1496,
N/A,2018-1,lakruzz,Sat 31. Mar,Phable - DI,3,Prolike,Setup Circle CI,OK,600,1122,
April 2018,2018-3,anetacamo,Mon 2. Apr,Phable - DI,5,Prolike,Privacy Policy into liquid + more includes into folders,OK,1000,1870,
April 2018,2018-2,anetacamo,Tue 3. Apr,Phable - DI,1,Prolike,adding Careers,OK,200,374,
April 2018,2018-2,anetacamo,Wed 4. Apr,Phable - DI,2,Prolike,Tracker Script + Logo fix + collaborate fix,OK,400,748,
April 2018,2018-2,anetacamo,Thu 5. Apr,Phable - DI,2,Prolike,Chat Service + deactivate careers,OK,400,748,
N/A,2018-2,lakruzz,Thu 5. Apr,Phable - DI,1,Prolike,Retrospective,OK,200,374,
April 2018,2018-2,anetacamo,Fri 6. Apr,Phable - DI,6,Prolike,Careers reactivate + add text + fixing CSS issues,OK,1200,2244,
N/A,2018-2,lakruzz,Sat 7. Apr,Phable - DI,3,Prolike,Fixing PHP stuff,OK,600,1122,
N/A,2018-2,lakruzz,Sun 8. Apr,Phable - DI,3,Prolike,Setup the LAMP stack environment,OK,600,1122,
April 2018,2018-2,anetacamo,Mon 9. Apr,Phable - DI,5,Prolike,The Customer Hub page - new. + Chat overlay + tech challenges going through with Lars,OK,1000,1870,
N/A,2018-2,lakruzz,Mon 9. Apr,Phable - DI,1,Prolike,Sprint planning with Aneta and JC,OK,200,374,
April 2018,2018-2,anetacamo,Wed 11. Apr,Phable - DI,8,Prolike,Create Collections for the hub + Remove fb icon and more issues,OK,1600,2992,
N/A,2018-2,lakruzz,Wed 11. Apr,Phable - DI,0.5,Prolike,DI Tech Challenges with Aneta,OK,100,187,
April 2018,2018-2,anetacamo,Thu 12. Apr,Phable - DI,4.5,Prolike,Services PRO vs Managed + CSS issues,OK,900,1683,
N/A,2018-2,lakruzz,Thu 12. Apr,Phable - DI,1,Prolike,Planning milestone with Aneta and JC,OK,200,374,
N/A,2018-2,lakruzz,Thu 12. Apr,Phable - DI,2,Prolike,Working on optimizing the images in the slider on the front page,OK,400,748,
April 2018,2018-2,anetacamo,Fri 13. Apr,Phable - DI,5,Prolike,Creating datasheet section + fixing wording + new images,OK,1000,1870,
April 2018,2018-2,anetacamo,Mon 16. Apr,Phable - DI,8,Prolike,Race 2.0 - new event + News page build + diff phones ,OK,1600,2992,
April 2018,2018-2,anetacamo,Tue 17. Apr,Phable - DI,5.5,Prolike,News page activating + finishing race event + fixing links ,OK,1100,2057,
April 2018,2018-2,anetacamo,Wed 18. Apr,Phable - DI,0.5,Prolike,Rollback,OK,100,187,
April 2018,2018-2,anetacamo,Fri 20. Apr,Phable - DI,4.5,Prolike,text area + PHP mails fix + adding back collapsible + maarkdown fix,OK,900,1683,
April 2018,2018-2,anetacamo,Mon 23. Apr,Phable - DI,7.5,Prolike,Logo for SEO + Blogs into markdowns + working on the SEO tagging in the posts,OK,1500,2805,
April 2018,2018-2,anetacamo,Tue 24. Apr,Phable - DI,1,Prolike,finishing SEO tagging,OK,200,374,
April 2018,2018-2,anetacamo,Fri 27. Apr,Phable - DI,4,Explore,Trying to disable Javascripts + image optimisation,OK,270,0,
N/A,2018-2,lakruzz,Fri 27. Apr,Phable - DI,0.5,Prolike,Testing the upload access (SFTP) to DI stage servers,OK,100,187,
April 2018,2018-2,anetacamo,Mon 30. Apr,Phable - DI,8,Prolike,sprint planning + image resizing + new blog + removing the old blog ,OK,1600,2992,
N/A,2018-2,lakruzz,Mon 30. Apr,Phable - DI,1.2,Prolike,Sprint planning with Aneta and JC,OK,240,448.8,
N/A,2018-2,lakruzz,Mon 30. Apr,Phable - DI,2,Prolike,"Investigating the SFTP access to servers, designing new solution, presting it to DI in a mail",OK,400,748,
N/A,2018-3,lakruzz,Tue 1. May,Phable - DI,3,Prolike,Configuring Deploy on Circle CI /Github,OK,600,1122,
N/A,2018-3,lakruzz,Wed 2. May,Phable - DI,0.5,Prolike,Certificate on GitHub/GitHub pages,OK,100,187,
May 2018,2018-3,anetacamo,Wed 2. May,Phable - DI,6,Prolike,Customer Hub features + adding the time & recent post feature + sorting chronollogically + starting new page - PARTNERS,OK,1200,2244,
May 2018,2018-3,anetacamo,Thu 3. May,Phable - DI,0.5,Prolike,Fixed failing test (#209),OK,100,187,
May 2018,2018-3,anetacamo,Fri 4. May,Phable - DI,3.5,Prolike,(#210),OK,700,1309,
May 2018,PROLIKE,anetacamo,Fri 4. May,Prolike,3,Honeypot,Meeting Kris and Laura,OK,405,0,
May 2018,2018-3,anetacamo,Mon 7. May,Phable - DI,7.5,Prolike,"Finishing the layouts for the new partners page (#212), (#200), (#199), (#198), (#197)",OK,1500,2805,
May 2018,2018-3,anetacamo,Wed 9. May,Phable - DI,8.5,Prolike,"tracker code + tags + new blog (#213), (#218), (#217), (#214), (#204), (#208),",OK,1700,3179,
May 2018,2018-3,anetacamo,Thu 10. May,Phable - DI,7.5,Prolike,"finishing tags + events section into the markdown + other fixes (#219), (#211), (#223), (#225), (#222), (#216), (#215), (#213), (#221)",OK,1500,2805,
May 2018,2018-3,anetacamo,Fri 11. May,Phable - DI,1.5,Prolike,hangout about the website,OK,300,561,
May 2018,2018-3,anetacamo,Mon 14. May,Phable - DI,9,Prolike,"installing the bootstrap carousel + adjusting CSS + creating a better linking system in the web (#224), (#227), (#230), (#231), (#232), (#226)",OK,1800,3366,
May 2018,2018-3,anetacamo,Wed 16. May,Phable - DI,8.5,Prolike,"replacing revo slider and carousel by custom carousel and revo slider - 239, 238, 237, 235, 236, 234 ",OK,1700,3179,
May 2018,2018-3,anetacamo,Thu 17. May,Phable - DI,4.5,Prolike,"246, 245, 229, 241, 240",OK,900,1683,
May 2018,2018-3,anetacamo,Fri 18. May,Phable - DI,5,Prolike,"263, 258, 259, 181, 244, 254, 256, 253, 250, 248, 243, 247, 242",OK,1000,1870,
May 2018,2018-3,anetacamo,Fri 18. May,Phable - DI,1,Explore,Tech challenge,OK,67.5,0,
N/A,2018-3,lakruzz,Fri 18. May,Phable - DI,0.5,Prolike,Meeting with DI + preparing Git repo transfer,OK,100,187,
May 2018,workbook-VHHR-1,loubnielsen,Tue 22. May,VHHR,4,Prolike,Meeting VHHR and research,OK,800,1496,
N/A,workbook-VHHR-1,lakruzz,Tue 22. May,VHHR,2,Prolike,Meeting VHHR,OK,400,748,
May 2018,2018-3,anetacamo,Wed 23. May,Phable - DI,1.5,Prolike,weekly website meeting / planning the work,OK,300,561,
May 2018,workbook-VHHR-1,loubnielsen,Wed 23. May,VHHR,3.5,Prolike,Working on (#1),OK,700,1309,
May 2018,2018-3,anetacamo,Wed 23. May,Phable - DI,9,Prolike,"272, 266, 275, 273, 270, 263, 271, 265, 268",OK,1800,3366,
May 2018,2018-3,loubnielsen,Wed 23. May,Phable - DI,1.5,Explore,Meeting intern training,OK,101.25,0,
May 2018,workbook-VHHR-1,loubnielsen,Thu 24. May,VHHR,4.5,Prolike,Working on (#1) and (#2),OK,900,1683,
May 2018,2018-3,anetacamo,Fri 25. May,Phable - DI,3,Prolike,"Content hub: featured items + partners icons into carousel (284), (252)",OK,600,1122,
May 2018,workbook-VHHR-1,loubnielsen,Fri 25. May,VHHR,4.5,Prolike,Forming backlog for drop-gdpr,OK,900,1683,
N/A,2018-3,lakruzz,Fri 25. May,Phable - DI,1,Prolike,Planning,OK,200,374,
May 2018,2018-3,anetacamo,Sat 26. May,Phable - DI,4.5,Prolike,"Creating global data file + logos mobile version + creating loops and merging files (265, 266)",OK,900,1683,
May 2018,workbook-VHHR-1,loubnielsen,Mon 28. May,VHHR,5,Prolike,"Working on #1, #2, #5",OK,1000,1870,
May 2018,2018-6,anetacamo,Mon 28. May,Phable - DI,8.5,Prolike,"creating global data files + new GDPR (286, 264, 285)",OK,1700,3179,
May 2018,workbook-VHHR-1,loubnielsen,Tue 29. May,VHHR,1.5,Explore,"Running docker on windows, zsh and ghi documentation",OK,101.25,0,
May 2018,PROLIKE,loubnielsen,Tue 29. May,Prolike,1,Honeypot,Meeting with Eddie + Lars,OK,135,0,
May 2018,workbook-VHHR-1,loubnielsen,Tue 29. May,VHHR,4.5,Prolike,Dockerizing development env. and defining #7,OK,900,1683,
June 2018,2018-6,anetacamo,Wed 30. May,Phable - DI,7,Prolike,"#202, #292, #282, #290, #291",OK,1400,2618,
June 2018,2018-6,anetacamo,Fri 1. Jun,Phable - DI,3,Prolike,"#300, #298, #299, #297",OK,600,1122,
June 2018,2018-6,anetacamo,Mon 4. Jun,Phable - DI,7,Prolike,"solution briefs section + talk with Aaron + readme files for easy navigation through blogs #307, #303, #308, #309, #310, #311, #264",OK,1400,2618,
N/A,2018-6,lakruzz,Tue 5. Jun,Phable - DI,5,Explore,Supervision,OK,337.5,0,
June 2018,workbook-VHHR-2,loubnielsen,Fri 1. Jun,VHHR,3,Prolike,#1,OK,600,1122,
June 2018,workbook-VHHR-2,loubnielsen,Sat 2. Jun,VHHR,1.5,Prolike,#1,OK,300,561,
June 2018,workbook-VHHR-2,loubnielsen,Mon 4. Jun,VHHR,5.5,Prolike,"#11, #10",OK,1100,2057,
June 2018,workbook-VHHR-2,loubnielsen,Tue 5. Jun,VHHR,4.5,Prolike,"#7, #10, #13, #14, #15",OK,900,1683,
June 2018,2018-6,anetacamo,Wed 6. Jun,Phable - DI,3,Explore,comments section,OK,202.5,0,
June 2018,workbook-VHHR-2,loubnielsen,Wed 6. Jun,VHHR,3.5,Prolike,#1 - related to #12,OK,700,1309,
June 2018,2018-6,anetacamo,Wed 6. Jun,Phable - DI,4.5,Prolike,"#278, #315, #267, #301, #302, #314",OK,900,1683,
June 2018,workbook-VHHR-2,loubnielsen,Thu 7. Jun,VHHR,2,Prolike,"#1, #9",OK,400,748,
June 2018,workbook-VHHR-2,loubnielsen,Fri 8. Jun,VHHR,5,Prolike,#1 #9,OK,1000,1870,
June 2018,workbook-VHHR-2,loubnielsen,Mon 11. Jun,VHHR,5,Prolike,"#1, git branch/merge issues, #22",OK,1000,1870,
June 2018,workbook-VHHR-2,loubnielsen,Sat 9. Jun,VHHR,1.5,Prolike,#1,OK,300,561,
June 2018,2018-6,anetacamo,Mon 11. Jun,Phable - DI,7,Prolike,"#318, #319, #320",OK,1400,2618,
,,anetacamo,Mon 11. Jun,Prolike,1.5,Explore,parallax scroll on the solutions + services  #257,OK,101.25,0,
June 2018,workbook-VHHR-2,loubnielsen,Tue 12. Jun,VHHR,3.5,Prolike,"git branch/merge issues, #22, #24, #25",OK,700,1309,
June 2018,workbook-VHHR-2,loubnielsen,Wed 13. Jun,VHHR,3,Prolike,Project vulnerabilities fixes and npm outdated packages upgrade,OK,600,1122,
June 2018,2018-6,anetacamo,Tue 12. Jun,Phable - DI,3,Prolike,"#321, help to Aaron",OK,600,1122,
June 2018,2018-6,anetacamo,Thu 14. Jun,Phable - DI,9,Prolike,"#305, #323, #327, #329",OK,1800,3366,
June 2018,workbook-VHHR-2,loubnielsen,Sat 16. Jun,VHHR,1.5,Prolike,Update npm packages and fix vulnerabilities,OK,300,561,
June 2018,workbook-VHHR-2,loubnielsen,Mon 18. Jun,VHHR,5.5,Prolike,"Preparing for meeting with VHHR, git phlow fixes, #16, readme.md",OK,1100,2057,
June 2018,2018-6,anetacamo,Mon 18. Jun,Phable - DI,7,Prolike,"#334, #332, #331, #333",OK,1400,2618,
June 2018,workbook-VHHR-2,loubnielsen,Tue 19. Jun,VHHR,3.5,Prolike,"Diving into Karma, Gulp, test, Ghook, hangout with VHHR",OK,700,1309,
N/A,workbook-VHHR-2,lakruzz,Tue 19. Jun,VHHR,1,Prolike,Hangout with VHHR,OK,200,374,
June 2018,2018-6,anetacamo,Tue 19. Jun,Phable - DI,1,Prolike,"#338, fixing broken commits",OK,200,374,
June 2018,2018-6,anetacamo,Wed 20. Jun,Phable - DI,7.5,Prolike,"#343, #344, #337",OK,1500,2805,
,,anetacamo,Thu 21. Jun,Prolike,2.5,Explore,"#343, #344, #337",OK,168.75,0,
June 2018,2018-6,anetacamo,Thu 21. Jun,Phable - DI,4,Prolike,"#343, #344, #337",OK,800,1496,
June 2018,2018-6,anetacamo,Fri 22. Jun,Phable - DI,2,Prolike,#350,OK,400,748,
June 2018,workbook-VHHR-2,loubnielsen,Fri 22. Jun,VHHR,5.5,Prolike,"#41, #42, #46, #47, #52, #52, #54",OK,1100,2057,
June 2018,workbook-VHHR-2,loubnielsen,Sun 24. Jun,VHHR,4,Prolike,"CircleCI, test",OK,800,1496,
June 2018,workbook-VHHR-2,loubnielsen,Sun 24. Jun,VHHR,5,Prolike,"CircleCI, test",OK,1000,1870,
N/A,workbook-VHHR-2,lakruzz,Tue 26. Jun,VHHR,2,Prolike,Circle CI setup,OK,400,748,
July 2018,workbook-VHHR-2,loubnielsen,Wed 27. Jun,VHHR,3.5,Prolike,"#61, #64",OK,700,1309,
July 2018,workbook-VHHR-1,loubnielsen,Fri 29. Jun,VHHR,2.5,Prolike,"#55, #62, #64, #65",OK,500,935,
July 2018,workbook-VHHR-1,loubnielsen,Sat 30. Jun,VHHR,2.5,Prolike,"#45, #6, preparing for meeting with VHHR",OK,500,935,
July 2018,2018-7,anetacamo,Mon 25. Jun,Phable - DI,5.5,Prolike,"#351, #352",OK,1100,2057,
July 2018,PROLIKE,anetacamo,Tue 26. Jun,Prolike,2,Explore,"#351, #353",OK,135,0,
July 2018,2018-7,anetacamo,Wed 27. Jun,Phable - DI,4.5,Prolike,"#351, pagination and code review",OK,900,1683,
July 2018,PROLIKE,anetacamo,Thu 28. Jun,Prolike,3,Explore,"#351, pagination and code review",OK,202.5,0,
July 2018,2018-7,anetacamo,Sun 1. Jul,Phable - DI,4,Prolike,"#352, #354",OK,800,1496,
July 2018,2018-7,anetacamo,Mon 2. Jul,Phable - DI,9,Prolike,"#354, #355, #356, #357, #359, #360",OK,1800,3366,
July 2018,workbook-VHHR-1,loubnielsen,Mon 2. Jul,VHHR,4,Prolike,"#Meeting with VHHR, evaluating on meeting, #6",OK,800,1496,
July 2018,2018-7,anetacamo,Tue 3. Jul,Phable - DI,1.5,Prolike,#360,OK,300,561,
July 2018,workbook-VHHR-1,loubnielsen,Tue 3. Jul,VHHR,4,Prolike,"#65, #66, #70, #72/#73",OK,800,1496,
July 2018,workbook-VHHR-1,loubnielsen,Sun 8. Jul,VHHR,5.5,Prolike,#73,OK,1100,2057,
July 2018,workbook-VHHR-1,loubnielsen,Mon 9. Jul,VHHR,4.5,Prolike,#73,OK,900,1683,
July 2018,workbook-VHHR-1,loubnielsen,Thu 19. Jul,VHHR,2,Prolike,#73,OK,400,748,
July 2018,workbook-VHHR-1,loubnielsen,Fri 20. Jul,VHHR,3,Prolike,#73,OK,600,1122,
July 2018,workbook-VHHR-1,loubnielsen,Mon 23. Jul,VHHR,4.5,Prolike,"#73, #74, #76",OK,900,1683,
July 2018,workbook-VHHR-1,loubnielsen,Tue 24. Jul,VHHR,5,Prolike,"#70, #71, #73, #74, #48",OK,1000,1870,
July 2018,workbook-VHHR-1,loubnielsen,Wed 25. Jul,VHHR,4,Prolike,"#77, #75, #71, css and styling",OK,800,1496,
July 2018,workbook-VHHR-3,loubnielsen,Fri 27. Jul,VHHR,3,Prolike,expected worktime for friday 27.,OK,600,1122,
August 2018,2018-8,anetacamo,Wed 4. Jul,Phable - DI,2,Prolike,#362,OK,400,748,
August 2018,2018-8,anetacamo,Thu 5. Jul,Phable - DI,2,Prolike,#361,OK,400,748,
August 2018,2018-8,anetacamo,Wed 11. Jul,Phable - DI,0.5,Prolike,update tile_loop - no issue name,OK,100,187,
August 2018,2018-8,anetacamo,Thu 12. Jul,Phable - DI,3.5,Prolike,"work in prose, outside the issues",OK,700,1309,
August 2018,2018-8,anetacamo,Mon 16. Jul,Phable - DI,5.5,Prolike,"work in prose, outside the issues, getting ready tags and videos",OK,1100,2057,
August 2018,2018-8,anetacamo,Wed 25. Jul,Phable - DI,7,Prolike,"#382, #381, #380, #379",OK,1400,2618,
August 2018,2018-8,anetacamo,Mon 30. Jul,Phable - DI,4,Prolike,"#385, #384",OK,800,1496,
August 2018,2018-8,anetacamo,Tue 31. Jul,Phable - DI,3.5,Prolike,"#386, videos updates",OK,700,1309,
August 2018,workbook-VHHR-3,loubnielsen,Thu 2. Aug,VHHR,6,Prolike,"#3, #4, #8, #68, #75, #83, #86, #87",OK,1200,2244,
August 2018,workbook-VHHR-3,loubnielsen,Sat 4. Aug,VHHR,3,Prolike,"#78, #82, '#85, #89, #91",OK,600,1122,
August 2018,workbook-VHHR-3,loubnielsen,Mon 6. Aug,VHHR,5,Prolike,"#84, #88, #90, #92",OK,1000,1870,
August 2018,2018-8,anetacamo,Mon 13. Aug,Phable - DI,4,Prolike,"#393, #390",OK,800,1496,
August 2018,2018-8,anetacamo,Wed 15. Aug,Phable - DI,9,Prolike,"#393, #394, #395, #396, #398, #400",OK,1800,3366,
August 2018,workbook-VHHR-3,loubnielsen,Fri 17. Aug,VHHR,4.5,Prolike,"#93, #94, #96",OK,900,1683,
August 2018,2018-8,anetacamo,Thu 16. Aug,Phable - DI,4.5,Prolike,#397,OK,900,1683,
August 2018,2018-8,anetacamo,Sat 18. Aug,Phable - DI,5.5,Prolike,"#397, #403, #358, #404",OK,1100,2057,
August 2018,2018-8,anetacamo,Sun 19. Aug,Phable - DI,5,Prolike,"#407, #408, #309/#409",OK,1000,1870,
August 2018,workbook-VHHR-3,loubnielsen,Mon 20. Aug,VHHR,6.5,Prolike,"#49, #80, #98 + meetings",OK,1300,2431,
August 2018,workbook-VHHR-3,loubnielsen,Tue 21. Aug,VHHR,5,Prolike,"#96, #101",OK,1000,1870,
August 2018,workbook-VHHR-3,loubnielsen,Wed 22. Aug,VHHR,4,Prolike,"#103, #106, #107, #108",OK,800,1496,
August 2018,2018-8,anetacamo,Mon 20. Aug,Phable - DI,8.5,Prolike,"#411, #410, #405",OK,1700,3179,
August 2018,2018-8,anetacamo,Tue 21. Aug,Phable - DI,1,Prolike,updates directly via prose.io,OK,200,374,
August 2018,2018-8,anetacamo,Wed 22. Aug,Phable - DI,9,Prolike,"#405, #415, #414",OK,1800,3366,
August 2018,2018-8,anetacamo,Thu 23. Aug,Phable - DI,2.5,Prolike,"#413, #414",OK,500,935,
August 2018,2018-8,anetacamo,Fri 24. Aug,Phable - DI,10,Prolike,"#418, #416, #417, #418, #413, #419, #420, #421, #422, #401",OK,2000,3740,
August 2018,workbook-VHHR-3,loubnielsen,Fri 24. Aug,VHHR,5,Prolike,"#97, #101, #109",OK,1000,1870,
August 2018,PROLIKE,loubnielsen,Mon 27. Aug,Prolike,2,Prolike,Timereg meeting,OK,400,0,
August 2018,workbook-VHHR-3,loubnielsen,Mon 27. Aug,VHHR,3.5,Prolike,"#101, #102",OK,700,1309,
August 2018,workbook-VHHR-3,loubnielsen,Tue 28. Aug,VHHR,6,Prolike,"#69, #101, #102, #104",OK,1200,2244,
August 2018,workbook-VHHR-3,loubnielsen,Wed 29. Aug,VHHR,7,Prolike,"#104, #105, #112, #113, #115, #117, #118",OK,1400,2618,
August 2018,2018-8,anetacamo,Mon 27. Aug,Phable - DI,3,Prolike,"catch up, #423",OK,600,1122,
August 2018,2018-8,anetacamo,Wed 29. Aug,Phable - DI,1,Prolike,"mail communication, catch up + fixes via prose.io",OK,200,374,
September 2018,workbook-VHHR-3,loubnielsen,Thu 30. Aug,VHHR,6,Prolike,"#110, #111, #113, #116",OK,1200,2244,
September 2018,workbook-VHHR-3,loubnielsen,Fri 31. Aug,VHHR,4.5,Prolike,"#56, #66, #120, #121, #122",OK,900,1683,
September 2018,workbook-VHHR-4,loubnielsen,Mon 3. Sep,VHHR,5,Prolike,"#99, #114, #119, #122, #124",OK,1000,1870,
September 2018,2018-10,anetacamo,Sun 2. Sep,Phable - DI,5,Prolike,#423,OK,1000,1870,
September 2018,2018-10,anetacamo,Mon 3. Sep,Phable - DI,1.5,Prolike,#426,OK,300,561,
September 2018,2018-10,anetacamo,Tue 4. Sep,Phable - DI,7,Prolike,"#425, #426",OK,1400,2618,
N/A,2018-10,lakruzz,Wed 5. Sep,Phable - DI,4,Prolike,"Handover, Circle CI, Zip archive, intoducting Louise",OK,800,1496,
September 2018,2018-10,loubnielsen,Wed 5. Sep,Phable - DI,4.5,Prolike,"Transfer dataintensity.com repository, email consulting, #issue",OK,900,1683,
September 2018,workbook-VHHR-4,loubnielsen,Wed 5. Sep,VHHR,2,Prolike,"#114, settings.json",OK,400,748,
September 2018,2018-10,anetacamo,Thu 6. Sep,Phable - DI,6,Prolike,"#429, #430, #426 + adding descriptions ",OK,1200,2244,
September 2018,2018-10,anetacamo,Fri 7. Sep,Phable - DI,6,Prolike,"#436, #435, #178",OK,1200,2244,
September 2018,2018-10,loubnielsen,Fri 7. Sep,Phable - DI,4.5,Prolike,Project transfer,OK,900,1683,
September 2018,workbook-VHHR-3,loubnielsen,Fri 7. Sep,VHHR,2,Prolike,#114,OK,400,748,
September 2018,workbook-VHHR-4,loubnielsen,Sat 8. Sep,VHHR,1,Prolike,#66,OK,200,374,
September 2018,2018-10,anetacamo,Sat 8. Sep,Phable - DI,5,Prolike,"#428, #363, #438",OK,1000,1870,
September 2018,2018-10,anetacamo,Mon 10. Sep,Phable - DI,2,Prolike,"#432, #431, #439",OK,400,748,
September 2018,workbook-VHHR-4,loubnielsen,Tue 11. Sep,VHHR,8,Prolike,"#79, #110, #131, #133, #134, #136, #137, #138, #139, #140, #142, #143",OK,1600,2992,
September 2018,workbook-VHHR-4,loubnielsen,Wed 12. Sep,VHHR,6.5,Prolike,"#129, #130 #139, #141, #144, #146 Docker on windows and limux start.script",OK,1300,2431,
September 2018,workbook-VHHR-4,loubnielsen,Thu 13. Sep,VHHR,8,Prolike,"#144, #146, #147, #148, #149, #152 , setup three instances of VHHR, #152",OK,1600,2992,
September 2018,workbook-VHHR-4,loubnielsen,Fri 14. Sep,VHHR,6,Prolike,"#145, #156, #155, #154, #132, #157",OK,1200,2244,
September 2018,workbook-VHHR-4,loubnielsen,Mon 17. Sep,VHHR,5.5,Prolike,"#158, #145",OK,1100,2057,
September 2018,workbook-VHHR-4,loubnielsen,Tue 18. Sep,VHHR,5,Prolike,"#158, #145, status meeting/what's next, proxy setup, #151",OK,1000,1870,
September 2018,workbook-VHHR-4,loubnielsen,Wed 19. Sep,VHHR,2,Prolike,"#123, #159, #164, #158",OK,400,748,
September 2018,workbook-VHHR-4,loubnielsen,Thu 20. Sep,VHHR,5,Prolike,"Backlog forming, #158, #161 #167",OK,1000,1870,
October 2018,workbook-VHHR-4,loubnielsen,Sat 22. Sep,VHHR,4.5,Prolike,"#135, #176, #173",OK,900,1683,
October 2018,workbook-VHHR-4,loubnielsen,Tue 25. Sep,VHHR,6.5,Prolike,#173,OK,1300,2431,
October 2018,workbook-VHHR-4,loubnielsen,Wed 26. Sep,VHHR,6.5,Prolike,"#182, #173, CircleCI and Selenium/frontend test",OK,1300,2431,
October 2018,workbook-VHHR-4,alfen321,Wed 12. Sep,VHHR,5,Prolike,"#147, #148",OK,1000,1870,
October 2018,workbook-VHHR-4,davidcarl,Wed 12. Sep,VHHR,5,Prolike,"#147, #148",OK,1000,1870,
